sector,region,size,multiestablishment_firm,fiscal_year,fiscal_month,fiscal_day,last_fiscal_year,legal_status,other_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,year_established,fte_started,formal_year,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,name_quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,electricity_obstacle,main_activity,main_product,percentage_sales_main_product,sales,sales_description,sales_2years_ago,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,technology_supply_chain,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,transport_obstacle_ops,customs_obstacle_ops,main_solutions,kpis,production_targets,performance_bonus,promotions,time_dismissed,main_market,competitors,foreign_technology,informal_competitors,obstacle_informal_competitors,product_innovation,product_inn_market,product_inn_description,prod_inn_description2,process_innovation,process_inn_description,process_inn_description2,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,access_land_obstacle,security,losses_fraudulent_transactions,obstacle_crime,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,obstacle_access_finance,opinion_court_system,manager_timespent_regulations,tax_inspection,online_tax_payment,tax_officials_impartial,tax_officials_transparent,raised_complaints,government_contract,percentage_informal_payments,import_lic,operating_licence,payments_votes,payments_content_decrees,payments_votes_localdecrees,public_support,other_public_support_descrip,obtacle_tax_rates,obtacle_tax_adm,obtacle_permits,obstacle_political_inestability,obstacle_corruption,obstacle_occup_safety,obstacle_healthy_reg,obstacle_environment_reg,obstacle_courts,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,foreing_languages,interpersonal_skills,managerial_skilss,it_skilss,engineering_skilss,technical_skilss,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,obstacle_labor_reg,obstacle_educated_workers,biggest_obstacle,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value
Other services,East Netherlands,Medium,No,2019,12,31,October,Shareholding company with non-traded shares or shares traded privately,,51,No,2,0,0,0,Yes,No family ownership,Yes,Yes,1988,10,1988,18,No,64,Bachelorâs degree,Yes,Yes,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"Supply To Large Scale Diy Stores Do It Yourself Products, Specifically Security Products In Iron And Plastic",100,15500000.0,Fifteen Million Five Hundred Thousand,15500000,99,0,1,0,85,0,15,No losses,40,60,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,-7,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,2.0,No,No,No obstacle,No,0,,,No,,,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,0,0,0,50,50,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,1,No,No,Does not apply,Does not apply,Does not apply,No,0.0,No,No,No impact,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,7,8,9,4,3,1,6,2,35,35,As required,As required,As required,As required,Does not apply (spontaneous),As required,1,6,5,7,4,3,2,5,Yes,No,1,6,5,7,4,3,2,No obstacle,Moderate obstacle,Does not apply,5,7,8,10,4,12,15,14,2,11,9,13,3,6,1,1900000,70000,16.0,0.0
Manufacturing,East Netherlands,Medium,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,92,No,1,0,0,0,No,92,No,Yes,1974,1,1974,30,No,53,Bachelorâs degree,Yes,Yes,Yes,Iso 9001 2015,No,Yes,No,No,Yes,No obstacle,Manufacturing of ,Production Of Running Boards For The Automotive Industry,45,8000000.0,Eight Million,12000000,0,0,0,100,10,0,90,No losses,70,30,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,Yes,No obstacle,Minor obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,International,5.0,Yes,No,No obstacle,Yes,1,Adding Lighting To Existing Products,Completely New,Yes,The Use Of 3D Printers And Scanners,Brand New,Yes,350000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Tend to agree,3,No,Yes,Tend to agree,Strongly agree,Strongly agree,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,8,9,3,6,2,4,5,1,7,40,60,As required,As required,As required,As required,As required,As required,1,7,3,6,2,4,5,No full-time seasonal or temporary workers,No,Yes,1,7,3,6,2,4,5,Moderate obstacle,No obstacle,Labor regulations,11,1,12,6,2,14,13,3,7,9,8,10,5,15,4,900000,0,52.0,250000.0
Other services,West Netherlands,Medium,No,2019,12,31,February,Shareholding company with non-traded shares or shares traded privately,,38,Yes,None (This is the first),0,0,0,Yes,No family ownership,No,Yes,2009,30,2009,11,No,30,Secondary/diploma,Yes,No,No,,No,No,No,No,Yes,No obstacle,Hotel or restaurant,"Restaurant In Brasserie For Individuals In Business Meetings, Weddings And Receptions With Food And Drinks",100,1900000.0,One Million Nine Hundred Thousand,1850000,100,0,0,0,100,0,0,No losses,100,0,Manual search of suppliers without storing supplierâs information in centralized database,No,No,Yes,Yes,No obstacle,Does not apply,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,Yes,Yes,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Yes,No,No obstacle,No,0,,,No,,,No,0,1,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Tend to disagree,5,No,Yes,Tend to disagree,Does not apply,Does not apply,No,0.0,No,Yes,Does not apply,Does not apply,Does not apply,1,,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,6,9,2,7,4,3,5,8,1,8,8,As required,As required,As required,Does not apply (spontaneous),Does not apply (spontaneous),Above required,6,1,2,7,4,3,5,No full-time seasonal or temporary workers,No,Yes,6,1,2,7,4,3,5,Minor obstacle,Moderate obstacle,Inadequately educated workforce,6,15,2,7,12,3,5,11,8,13,14,4,9,10,1,650000,40000,4.0,0.0
Manufacturing,East Netherlands,Small,Yes,2019,12,31,,Shareholding company with non-traded shares or shares traded privately,,100,No,Don't know (spontaneous,100,0,0,Don't know (spontaneous),No family ownership,No,Yes,1998,Don't know (spontaneous),1998,19,No,Don't know (spontaneous),Don't know (spontaneous),No,Yes,Yes,Iso 9001,No,No,No,No,Yes,No obstacle,Manufacturing of ,Production Of Calcium Wire Coated With Steel For The Steel Industry To Harden Steel,100,11000000.0,Eleven Million,10000000,100,0,0,0,20,0,80,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,No,No,No,No,No obstacle,No obstacle,We fixed it but did not take further action,Yes,Yes,Yes,Non-managers are normally not promoted,DOES NOT APPLY (SPONTANEOUS),International,2.0,No,No,No obstacle,No,0,,,No,,,No,0,0,80,80,No,No obstacle,Yes,No,No obstacle,90,0,0,8,2,No,Yes,Yes,No,No,No,No,No obstacle,Tend to agree,10,No,Yes,Tend to agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,No impact,No impact,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,7,3,6,4,5,1,9,8,2,11,12,As required,As required,As required,As required,Does not apply (spontaneous),As required,7,3,6,4,5,1,2,3,Yes,Yes,7,3,6,4,5,1,2,No obstacle,No obstacle,Inadequately educated workforce,15,3,12,4,11,5,1,8,2,13,14,6,9,10,7,900000,51000,0.0,0.0
Other services,South Netherlands,Medium,Yes,2020,3,31,October,Shareholding company with non-traded shares or shares traded privately,,100,No,10,100,0,0,Yes,100,No,Yes,1970,4,1970,5,No,52,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,No,No,No,Yes,No obstacle,Wholesale trade of ,"Rental And Sale Of All Kinds Of Scaffolding For Construction, Industry, Roofing, Events, Shielding And, Pedestrian Bridges, Support Or Accessories For Them, As Well As Ladders And Stairs",100,66000000.0,Sixty Six Million,55000000,0,50,0,50,60,0,40,No losses,2,98,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,Non-managers are normally not promoted,Rarely or never,National â main product sold mostly across the country where establishment is located,5.0,No,No,No obstacle,Yes,1,Improved Clamping Of Scaffolding,Completely New,Yes,Different Way Of Erecting A Mobile Scaffold Tower For Safety Reasons,Brand New,Yes,100000.0,0,100,100,No,No obstacle,Yes,No,Minor obstacle,100,0,0,0,0,No,Yes,No,No,No,No,Yes,No obstacle,Tend to agree,12,No,Yes,Tend to agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Minor impact,1,,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,7,1,4,9,8,5,3,6,2,42,41,Below required,As required,Below required,Below required,As required,As required,7,6,4,2,3,5,1,No full-time seasonal or temporary workers,No,Yes,7,6,4,2,3,5,1,Minor obstacle,Minor obstacle,Business licensing and permits,12,13,4,15,8,5,3,11,2,9,14,7,1,6,10,4000000,30000,26.0,0.0
Manufacturing,South Netherlands,Medium,Yes,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,No,1,100,0,0,Yes,100,No,Yes,1999,2,1999,3,Yes,36,Post-graduate degree (Master or Doctorate),No,No,Yes,Iso 13485,No,No,No,No,Yes,No obstacle,Manufacturing of ,We Manufacture Packaging Materials For Medical Applications,100,30086061.0,Thirtymillion Eighty Six Thousand Sixty One,25491000,100,0,0,0,16,0,84,No losses,0,100,Supplier Relation Management software (SRM),Yes,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),International,2.0,No,No,No obstacle,No,0,,,No,,,Yes,20000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,Does not apply,Does not apply,No obstacle,No obstacle,No obstacle,Does not apply,8,4,2,7,6,5,3,1,9,44,42,As required,Below required,Above required,Does not apply (spontaneous),Does not apply (spontaneous),As required,1,4,2,7,6,5,3,No full-time seasonal or temporary workers,Yes,Yes,1,4,2,7,6,5,3,No obstacle,No obstacle,Does not apply,11,10,2,7,8,12,3,1,9,13,15,5,14,6,4,3789000,54093,13.0,5000000.0
Other services,South Netherlands,Large,Yes,2019,12,28,,Shareholding company with shares traded on the stock market,,34,No,None (This is the first),15,0,11,Yes,34,No,Yes,1935,3,1935,13,No,43,Post-graduate degree (Master or Doctorate),Yes,No,No,,No,Yes,Yes,Yes,Yes,No obstacle,Wholesale trade of ,Wholesale In Catering Supplies,95,2400000000.0,Two Billion Four Hundred Million,2100000000,30,0,70,0,99,1,0,No losses,60,40,Supplier Relation Management software (SRM),No,No,No,No,Moderate obstacle,Minor obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,12.0,No,No,No obstacle,No,0,,,Yes,A Service Team Was Founded To Improve Service To Customers,Completely New,Yes,7000000.0,0,50,50,Yes,Minor obstacle,Yes,Yes,Moderate obstacle,100,0,0,0,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Minor obstacle,Strongly agree,10,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Yes,0.0,Yes,Yes,Minor impact,Minor impact,Minor impact,0,,No obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,5,9,8,2,6,1,3,4,7,4100,4000,As required,As required,As required,As required,As required,As required,5,4,6,2,7,1,3,800,Yes,Yes,5,4,6,2,7,1,3,Minor obstacle,Moderate obstacle,Transport,12,10,8,2,15,1,3,4,11,9,7,13,14,5,6,218000000,15000000,0.0,0.0
Retail services,South Netherlands,Medium,Yes,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,94,No,1,2,0,94,No,94,No,Yes,1998,85,1998,25,No,47,Post-graduate degree (Master or Doctorate),Yes,Yes,Yes,Iatf16949,No,No,No,No,Yes,No obstacle,Retail trade of ,Sale And Installation Of Printer Circuit Boards,100,69000000.0,Sixty Nine Million,55500000,100,0,0,0,10,15,75,No losses,5,95,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,No,Moderate obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,International,20.0,No,No,No obstacle,Yes,0,Introduction And Implantation Of Robot Systems,Completely New,No,,,Yes,25000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,25,35,0,40,0,No,Yes,Yes,No,No,No,Yes,Minor obstacle,Tend to agree,5,No,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,0.0,No,No,No impact,No impact,No impact,1,,Very severe obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,9,6,2,5,1,3,8,7,4,20,28,Below required,As required,As required,As required,As required,As required,4,6,2,5,1,3,7,9,Yes,Yes,4,6,2,5,1,3,7,Minor obstacle,Major obstacle,Inadequately educated workforce,11,1,2,12,3,14,8,7,4,6,13,15,9,10,5,1700000,10000,0.0,0.0
Other services,East Netherlands,Medium,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1983,2,1983,17,No,41,Bachelorâs degree,Yes,No,Yes,Fssc22000,No,No,No,No,Yes,No obstacle,Provide services of ,National And International Transport Of Frozen Cargo,95,11700000.0,Eleven Million Seven Hundredthousand,10400000,0,100,0,0,60,0,40,No losses,60,40,Other,No,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,22.0,No,No,No obstacle,Yes,0,Use Specific Trailers To Provide Custom Transport,Extension Services,Yes,Automated Linking Of Order To Customer,Makes It More Efficient And Creates A Bond With The Customer,Yes,25000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,0,80,0,20,0,Yes,Yes,No,Yes,No,Yes,Yes,Minor obstacle,Strongly agree,15,No,Yes,Strongly agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,No obstacle,6,9,2,8,7,4,1,5,3,62,55,Below required,As required,Below required,Below required,Below required,As required,6,4,2,5,7,3,1,3,Yes,Yes,6,4,2,5,7,3,1,Minor obstacle,No obstacle,Labor regulations,15,10,2,1,7,4,9,5,13,11,12,8,14,3,6,3900000,25000,5.0,0.0
Manufacturing,East Netherlands,Medium,Yes,2019,12,31,March,Shareholding company with non-traded shares or shares traded privately,,100,Yes,2,0,0,0,No,40,No,Yes,1986,120,1964,25,No,61,Post-graduate degree (Master or Doctorate),Yes,Yes,Yes,Iso 9001,Yes,No,Yes,Yes,Yes,No obstacle,Manufacturing of ,Producing Adhesive Interlinings For The Clothing Industry,30,20000000.0,Twenty Million,19500000,10,30,10,50,5,5,90,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,Yes,Yes,No,Yes,No obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,International,15.0,No,Yes,Major obstacle,Yes,1,- Much Coating - Technology Instead Of Traditional Coating,Other Technology,No,,,Yes,500000.0,0,100,100,No,No obstacle,Yes,No,No obstacle,40,30,0,30,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No obstacle,Tend to agree,10,No,Yes,Tend to agree,Tend to agree,Strongly disagree,No,0.0,Yes,No,No impact,No impact,No impact,1,,Major obstacle,Moderate obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,2,3,9,1,7,8,6,5,4,58,70,As required,As required,As required,Below required,Does not apply (spontaneous),As required,2,3,4,5,1,7,6,5,No,Yes,2,3,4,5,1,7,6,Major obstacle,Minor obstacle,Tax administration,12,3,9,11,7,1,6,15,13,8,4,2,14,10,5,3000000,120000,4.0,15000000.0
Manufacturing,West Netherlands,Medium,No,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,100,No,None (This is the first),0,0,0,No,No family ownership,No,Yes,1987,Don't know (spontaneous),1984,23,No,47,Post-graduate degree (Master or Doctorate),Yes,No,Yes,Vca,No,No,No,No,Yes,No obstacle,Manufacturing of ,"Sbi Code 2825, Ie Manufacture Of Machines And Equipment For Industrial Refrigeration And Air-Conditioning",60,10000000.0,Ten Million,16000000,20,0,0,80,30,0,70,No losses,90,10,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,Yes,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,Yes,Yes,Non-managers are normally not promoted,Within 6 months of identifying non-manager under-performance,International,7.0,No,No,Minor obstacle,Yes,0,Efficiency Of Fruit Ripening Process Has Improved In Terms Of Energy Consumption,Energy Consumption Of The Machines Has Been Reduced,Yes,Welding Methods Have Been Further Automated,From Manual Work To Automated,Yes,2000.0,0,100,100,No,No obstacle,Yes,No,No obstacle,0,100,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Moderate obstacle,Strongly agree,2,No,Yes,Strongly agree,Strongly agree,Strongly agree,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Major obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,5,3,9,8,2,1,4,6,7,45,45,As required,As required,As required,As required,Does not apply (spontaneous),As required,1,3,5,6,2,7,4,No full-time seasonal or temporary workers,Yes,Yes,1,3,5,6,2,7,4,Minor obstacle,Minor obstacle,Does not apply,5,14,15,8,12,1,4,11,7,2,6,13,10,3,9,2500000,100000,8.0,1000000.0
Other services,East Netherlands,Large,No,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,100,Yes,2,0,0,0,No,33,No,Yes,2011,10,2011,35,No,57,Post-graduate degree (Master or Doctorate),Yes,Yes,No,,No,No,No,No,Yes,No obstacle,Hotel or restaurant,Providing Overnight Stays,90,3000000.0,Three Million,2600000,40,0,60,0,100,0,0,No internal shipments made (does not apply),100,0,Database of suppliers manually updated using computers with general purpose software,No,No,No,No,No obstacle,Does not apply,We fixed it and took action to make sure it did not happen again,No,No,No,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,3.0,Yes,No,No obstacle,No,0,,,No,,,No,0,0,0,0,No,No obstacle,Yes,No,No obstacle,90,10,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Tend to agree,No time was spent,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,1,4,7,2,5,3,9,8,10,10,As required,As required,As required,As required,Does not apply (spontaneous),As required,6,1,4,7,2,5,3,No full-time seasonal or temporary workers,No,Yes,6,1,4,7,2,5,3,No obstacle,No obstacle,Does not apply,13,1,12,10,2,11,15,14,8,7,5,4,6,9,3,375000,90000,16.0,0.0
Other services,West Netherlands,Medium,Yes,2019,12,31,December,Shareholding company with non-traded shares or shares traded privately,,66,No,1,0,0,0,No,No family ownership,No,Yes,2009,50,2009,3,Yes,34,Secondary/technical/vocational training,Yes,Yes,Yes,Isae 3402,No,No,No,No,Yes,No obstacle,Provide services of ,It Services In The Field Of Hardware And Software: From Construction To Help And Advice,100,7179002.0,Seven Million One Hundred Seventy Nine Thousand Two,7058372,0,0,0,100,70,30,0,No losses,20,80,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,No,Moderate obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,4.0,Yes,No,No obstacle,No,0,,,Yes,"Services More Specialized, Mainly At A Distance",Previously Exclusively Home Service,Yes,2600.0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,No,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,40,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,9,3,2,5,4,7,6,1,8,48,43,As required,Below required,As required,Above required,Does not apply (spontaneous),As required,1,3,2,5,4,7,6,3,Yes,Yes,1,3,2,5,4,7,6,No obstacle,Major obstacle,Inadequately educated workforce,15,3,12,11,4,8,7,1,10,6,13,14,5,2,9,2172985,4000,6.0,0.0
Manufacturing,East Netherlands,Medium,No,2019,12,31,December,Shareholding company with non-traded shares or shares traded privately,,100,No,None (This is the first),0,0,0,No,No family ownership,No,Yes,1940,2,1959,30,No,54,Secondary/technical/vocational training,Yes,Yes,Yes,"Iso, Pfc, Fsc",No,No,No,No,Yes,No obstacle,Manufacturing of ,"Sheathing (Of Profiles, Sheet Materials)",90,10700000.0,Ten Million Seven Hundred Thousand,10450000,0,95,0,5,90,0,10,No losses,20,80,Supplier Relation Management software (SRM),Yes,No,No,No,Moderate obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,-7,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,1.0,No,No,No obstacle,No,0,,,No,,,No,0,0,0,0,Yes,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Tend to agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,2,8,1,5,7,9,3,4,6,61,59,As required,As required,As required,As required,As required,As required,2,4,1,7,6,5,3,No full-time seasonal or temporary workers,Yes,Yes,2,4,1,7,6,5,3,No obstacle,Moderate obstacle,Inadequately educated workforce,2,10,8,5,7,12,3,4,11,9,13,14,15,1,6,2500000,110000,26.0,12000000.0
Other services,South Netherlands,Medium,Yes,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,No family ownership,No,Yes,1965,Don't know (spontaneous),1965,30,No,62,Bachelorâs degree,Yes,No,Yes,Iso 14001 And 9001,Yes,No,Yes,No,Yes,No obstacle,Provide services of ,"Transport Via Pipes And Services To Third Parties In Terms Of Pipe Companies Both In, Around And On Pipes Via Measuring Room",78,15935000.0,Fifteen Million Nine Hundred Thirty Five Thousand,18733000,0,0,0,100,78,0,22,No losses,Don't know (spontaneous),Don't know (spontaneous),Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,Rarely or never,International,7.0,Yes,No,No obstacle,No,0,,,No,,,No,0,0,60,5,Yes,Minor obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,10,Yes,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,0,,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,Moderate obstacle,No obstacle,8,1,5,9,2,4,3,7,6,51,51,Below required,As required,As required,As required,As required,As required,7,6,5,4,2,1,3,12,Yes,Yes,7,6,5,4,2,1,3,No obstacle,No obstacle,Business licensing and permits,14,10,12,13,2,4,1,7,6,11,3,5,9,15,8,4536000,1064000,0.0,0.0
Other services,West Netherlands,Small,No,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,Yes,100,No,Yes,1998,7,1998,47,Yes,61,Secondary/diploma,Yes,Yes,No,,Yes,No,No,No,Yes,No obstacle,Hotel or restaurant,Arranging And Giving Parties And Parties At Your Location,40,1000000.0,One Million,1200000,25,50,10,15,70,0,30,No losses,95,5,Manual search of suppliers without storing supplierâs information in centralized database,No,No,Yes,Yes,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,Yes,Yes,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,10.0,No,No,Major obstacle,No,0,,,No,,,No,0,1,100,100,No,Minor obstacle,Yes,No,No obstacle,100,0,0,0,0,No,Yes,Yes,No,No,No,No,Moderate obstacle,Tend to agree,5,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,4,6,5,8,1,9,3,7,2,11,13,Does not apply (spontaneous),Below required,Below required,As required,Does not apply (spontaneous),Below required,4,6,5,7,1,2,3,4,No,Yes,4,6,5,7,1,2,3,Major obstacle,Very severe obstacle,Inadequately educated workforce,4,15,5,10,12,14,3,7,11,13,2,1,8,9,6,350000,24000,4.0,0.0
